backside,ひっぷ
file fragmentation,ふぁいるふらぐめんてーしょん
file property,ふぁいるぷろぱてぃ
file section,ふぁいるぶんかつ
file separator,ふぁいるぶんりきゃらくた
FS,ふぁいるぶんりきゃらくた
file organization,ふぁいるへんせい
write-enable ring,ふぁいるほごりんぐ
write ring,ふぁいるほごりんぐ
file-protection ring,ふぁいるほごりんぐ
file protect ring,ふぁいるほごりんぐ
safety ring,ふぁいるほごりんぐ
file manager,ふぁいるまねーじゃ
file-name,ふぁいるめい
filename extension,ふぁいるめいかくちょうし
filename substitution,ふぁいるめいちかん
filename expansion,ふぁいるめいてんかい
filename completion,ふぁいるめいのかんけつ
file mode,ふぁいるもーど
file model,ふぁいるもでる
fine,ふぁいん
fine art,ふぁいんあーと
fine chemical,ふぁいんけみかる
fine ceramics,ふぁいんせらみっくす
finder,ふぁいんだ
finder,ふぁいんだー
fine-tuning,ふぁいんちゅーにんぐ
fine food,ふぁいんふーど
fine play (baseball),ふぁいんぷれー
fine polymer,ふぁいんぽりまー
Feynman diagram,ふぁいんまんず
Feynman diagram,ふぁいんまんだいあぐらむ
fauna,ふぁうな
foul (sports),ふぁうる
foul throw,ふぁうるすろー
foul tip,ふぁうるちっぷ
foul ball,ふぁうるぼーる
foul line,ふぁうるらいん
foundry,ふぁうんだり
foundation,ふぁうんでーしょん
fountainpen,ふぁうんてんぺん
foundry,ふぁうんどり
foundry service,ふぁうんどりさーびす
faculty,ふぁかるてぃ
faculty development,ふぁかるてぃでぃべらっぷめんと
faculty development,ふぁかるてぃでぃべろっぷめんと
facsimile,ふぁくしみり
facsimile adapter,ふぁくしみりあだぷた
faction,ふぁくしょん
fax,ふぁくす
facsimile,ふぁくす
fax transmission,ふぁくすそうしん
factor,ふぁくたー
factoring,ふぁくたりんぐ
fact,ふぁくと
fact store,ふぁくとすとあ
fact dimension,ふぁくとでぃめんしょん
fact database,ふぁくとでーたべーす
factory,ふぁくとり
factorial,ふぁくとりある
factory,ふぁくとりー
factory automation,ふぁくとりーおーとめーしょん
factory team,ふぁくとりーちーむ
factory automation,ふぁくとりおーとめーしょん
FA,ふぁくとりおーとめーしょん
fagot-stitch,ふぁごってぃんぐすてっち
fagotting stitch,ふぁごってぃんぐすてっち
bassoon (ita: Fagotto),ふぁごっと
FACOM,ふぁこむ
facade,ふぁさーど
father complex,ふぁざこん
fuzzy,ふぁじぃ
fuzzy,ふぁじー
fuzzy computer,ふぁじーこんぴゅーた
fuzzy computer,ふぁじーこんぴゅーたー
fuzzy set,ふぁじぃしゅうごう
fuzzy set,ふぁじーしゅうごう
fuzzy control,ふぁじーせいぎょ
fuzzy theory,ふぁじぃりろん
fuzzy theory,ふぁじーりろん
fuzzy logic,ふぁじーろじっく
fuzzy logic,ふぁじぃろんり
fuzzy logic,ふぁじーろんり
fascist,ふぁしすた
Fascist Party,ふぁしすたとう
fascist,ふぁしすと
Fascist Party,ふぁしすととう
fascism,ふぁしずむ
facility,ふぁしりてぃ
facility,ふぁしりてい
facility,ふぁしりてぃー
facility management,ふぁしりてぃまねーじめんと
facility management,ふぁしりてぃまねじめんと
fuzz,ふぁず
fustian,ふぁすちゃん
first base (baseball) (和製: first canvas),ふぁすとかんばす
FastSCSI,ふぁすとすかじー
fast select,ふぁすとせれくと
fast-track,ふぁすととらっく
first name,ふぁすとねえむ
fast-food,ふぁすとふーど
fast on (terminal),ふぁすとん
fastener,ふぁすなー
zipper,ふぁすなー
facet (jewel),ふぁせっと
facet (aspect),ふぁせっと
faceted thesaurus,ふぁせっとしそーらす
citation order,ふぁせっとじゅんい
facet indicator,ふぁせっとひょうじきごう
faceted classification system,ふぁせっとぶんるいたいけい
intra-facet connector,ふぁせっとれんけつきごう
First Kitchen (fast food restaurant chain),ふぁっきん
fucking,ふぁっきん
fuck,ふぁっく
facsimile,ふぁっくす
FAX,ふぁっくす
facsimile communications function,ふぁっくすつうしんきのう
FAX modem,ふぁっくすもでむ
fuck you,ふぁっくゆー
faschia (ita: fascio),ふぁっしょ
fashionable,ふぁっしょなぶる
fashion,ふぁっしょん
fashion industry,ふぁっしょんいんだすとりー
fashion editor,ふぁっしょんえでぃたー
fashion coordinator,ふぁっしょんこーでぃねーたー
fashion magazine,ふぁっしょんざっし
fashion show,ふぁっしょんしょー
fashion food,ふぁっしょんふーど
fashion book,ふぁっしょんぶっく
sexual massage service (和製: fashion health),ふぁっしょんへるす
fashion massage,ふぁっしょんまっさーじ
fashion model,ふぁっしょんもでる
FAT,ふぁっと
fad,ふぁっど
fat pipe (i.e., a high bandwidth connection),ふぁっとぱいぷ
fad,ふぁど
fado,ふぁど
fatwa (ara: fatwa),ふぁとあー
ruling on Islamic law as dictated by a mufti (religious legal scholar),ふぁとあー
fatwa (ara: fatwa),ふぁとぅわ
ruling on Islamic law as dictated by a mufti (religious legal scholar),ふぁとぅわ
fatwa (ara: fatwa),ふぁとわ
ruling on Islamic law as dictated by a mufti (religious legal scholar),ふぁとわ
fanaticism,ふぁなてぃしずむ
fanatic,ふぁなてぃっく
funny,ふぁにー
funny face,ふぁにーふぇーす
Fabry-Perot etalon,ふぁぶりーぺろえたろん
fabric,ふぁぶりっく
video game system (from family computer - Nintendo tradename),ふぁみこん
Family Mart (company),ふぁみま
family,ふぁみり
familiar,ふぁみりあ
familiar,ふぁみりあー
family,ふぁみりー
family car,ふぁみりーかー
family computer,ふぁみりーこんぴゅーた
Nintendo (from family computer),ふぁみりーこんぴゅーたー
family-size,ふぁみりーさいず
family name,ふぁみりーねーむ
family bike,ふぁみりーばいく
family fund,ふぁみりーふぁんど
family brand,ふぁみりーぶらんど
Family Mart (company),ふぁみりーまーと
family life cycle,ふぁみりーらいふさいくる
family restaurant,ふぁみりーれすとらん
familism,ふぁみりずむ
family restaurant,ふぁみれす
famotidine,ふぁもちじん
far away,ふぁらうぇい
pharaoh,ふぁらお
farad,ふぁらっど
Faraday effect,ふぁらでーこうか
Faraday constant,ふぁらでーていすう
Faraday's law,ふぁらでーのほうそく
farad,ふぁらど
phalanx,ふぁらんくす
farandole,ふぁらんどーる
Pharisees,ふぁりさいは
phallicism,ふぁりしずむ
falcon,ふぁるこん
Falcon (missile),ふぁるこん
stuffed food (e.g. eggs, tomatoes) (fre: farci),ふぁるし
stuffed food (e.g. eggs, tomatoes) (fre: farci),ふぁるしー
farce,ふぁるす
phallus,ふぁるす
falsetto,ふぁるせっと
poor look,ぷあるっく
farfalle,ふぁるふぁっれ
Phalaenopsis (the moth orchid genus),ふぁれのぷしす
fallow deer,ふぁろーじか
tetralogy of Fallot,ふぁろーしちょうこう
fan,ふぁん
fun,ふぁん
fan-out,ふぁんあうと
funky,ふぁんきー
funk,ふぁんく
functionalism,ふぁんくしょなりずむ
function,ふぁんくしょん
function key,ふぁんくしょんきー
function call,ふぁんくしょんこーる
functor,ふぁんくた
fan club,ふぁんくらぶ
fan coil unit,ふぁんこいるゆにっと
fan site (WWW),ふぁんさいと
fansite,ふぁんさいと
fancy,ふぁんしー
fancy goods,ふぁんしーぐっず
fancy store,ふぁんしーすとあ
fancy dress,ふぁんしーどれす
fancy food,ふぁんしーふーど
fancy ball,ふぁんしーぼーる
fan-jet,ふぁんじぇっと
fantasia,ふぁんたじあ
fantasy,ふぁんたじー
fantastic (和製: fantasy-ic),ふぁんたじっく
fanciful,ふぁんたじっく
fantastic,ふぁんたすてぃっく
fundamentalism,ふぁんだめんたりずむ
fundamental,ふぁんだめんたる
fundamentals,ふぁんだめんたるず
fandango,ふぁんだんご
foundation,ふぁんでーしょん
fund,ふぁんど
fund trust,ふぁんどとらすと
fund manager,ふぁんどまねーじゃー
fund manager,ふぁんどまねじゃー
phantom,ふぁんとむ
phantom BOM,ふぁんとむびーおーえむ
fund trust,ふぁんとら
fan heater,ふぁんひーたー
fanfare,ふぁんふぁーる
flourish of trumpets,ふぁんふぁーる
fun fair,ふぁんふぁーる
fanfare,ふぁんふぁーれ
flourish of trumpets,ふぁんふぁーれ
fun fair,ふぁんふぁーれ
fumble,ふぁんぶる
fan letter,ふぁんれたー
buoy,ぶい
VR,ぶいあーる
VRML,ぶいあーるえむえる
VI,ぶいあい
VIM,ぶいあいえむ
very important person,ぶいあいぴー
VIP,ぶいあいぴー
fiance,ふぃあんせ
fiancee,ふぃあんせ
feasibility,ふぃーじびりてぃー
feasibility study,ふぃーじびりてぃーすたでぃ
feasibility study,ふぃーじびりてぃーすたでぃー
feasibility study,ふぃーじびりてぃすたでぃ
feeder,ふぃーだ
feeder,ふぃーだー
feature,ふぃーちゃ
feature,ふぃーちゃー
feature group,ふぃーちゃーぐるーぷ
feature connector,ふぃーちゃこねくた
feeding,ふぃーでぃんぐ
fiddle,ふぃーでる
feet,ふぃーと
foot,ふぃーと
feed,ふぃーど
feedback,ふぃーどばっく
feedback control,ふぃーどばっくせいぎょ
feed-forward,ふぃーどふぉわーど
feed lot,ふぃーどろっと
fever,ふぃーばー
fee business,ふぃーびじねす
feeling,ふぃーりんぐ
Fields,ふぃーるず
Fields Medal,ふぃーるずしょう
fielder's choice,ふぃーるだーずちょいす
fielding (practice, practise),ふぃーるでぃんぐ
field,ふぃーるど
field archery,ふぃーるどあーちぇりー
field athletic,ふぃーるどあすれちっく
field upgrade,ふぃーるどあっぷぐれーど
field engineer,ふぃーるどえんじにあ
FE,ふぃーるどえんじにあ
field events,ふぃーるどきょうぎ
field-glasses,ふぃーるどぐらす
field goal,ふぃーるどごーる
field study,ふぃーるどすたでぃー
field test,ふぃーるどてすと
field note,ふぃーるどのーと
field-separator character,ふぃーるどぶんりもじ
field hockey,ふぃーるどほっけー
field map,ふぃーるどまっぷ
fieldman,ふぃーるどまん
fieldwork,ふぃーるどわーく
V.FC,ぶいえふしー
VFW,ぶいえふだぶりゅー
VM,ぶいえむ
VMS,ぶいえむえす
VLSI,ぶいえるえすあい
VLM,ぶいえるえむ
VL-bus,ぶいえるばす
VOD,ぶいおーでぃー
figure,ふぃぎゅあ
figurine (small models of anime characters, etc.),ふぃぎゅあ
figure skating,ふぃぎゅあすけーてぃんぐ
figure skating,ふぃぎゅあすけーと
figurehead,ふぃぎゅあへっど
figurative,ふぃぎゅらてぃふ
fixer,ふぃくさー
fiction,ふぃくしょん
fix,ふぃくす
fixed,ふぃくすと
phycoerythrin,ふぃこえりとりん
phycocyanin,ふぃこしあにん
V30,ぶいさんじゅー
V.34,ぶいさんじゅーよん
Fiji,ふぃじー
VGA,ぶいじーえー
VCCI,ぶいしーしーあい
VCPI,ぶいしーぴーあい
physiology,ふぃじおろじー
physical,ふぃじかる
physical,ふいじかる
physical fitness,ふぃじかるふぃっとねす
physical protection,ふぃじかるぷろてくしょん
physics,ふぃじっくす
fizz,ふぃず
fiscal,ふぃすかる
fiscal year,ふぃすかるいやー
fiscal drag,ふぃすかるどらっぐ
fiscal policy,ふぃすかるぽりしー
fist-fucking (lit: fist fuck),ふぃすとふぁっく
V-turn,ぶいたーん
V-Chat,ぶいちゃっと
fix,ふぃっくす
fisherman,ふぃっしゃーまん
fisherman's sweater,ふぃっしゃーまんずせーたー
fisherman's sweater,ふぃっしゃーまんせーたー
fish,ふぃっしゅ
fiche,ふぃっしゅ
fisheye lens,ふぃっしゅあいれんず
fish and chips,ふぃっしゅあんどちっぷす
fish meal,ふぃっしゅみーる
fishing,ふぃっしんぐ
phishing,ふぃっしんぐ
fishing cat,ふぃっしんぐきゃっと
phishing,ふぃっしんぐさぎ
fishing jacket,ふぃっしんぐじゃけっと
fitting,ふぃってぃんぐ
fitting room,ふぃってぃんぐるーむ
fit,ふぃっと
fitness,ふぃっとねす
fitness club,ふぃっとねすくらぶ
health spa,ふぃっとねすくらぶ
fitness shoes,ふぃっとねすしゅーず
exercise bike (和製: fitness bike),ふぃっとねすばいく
FIPS,ふぃっぷす
Video Tape Recorder,ぶいてぃあーる
VCR,ぶいてぃあーる
Video Tape Recorder,ぶいてぃーあーる
VCR,ぶいてぃーあーる
VDT,ぶいでぃーてぃー
VT-100,ぶいてぃーひゃく
V-Text,ぶいてきすと
fidelity,ふぃでりてぃー
FIDO,ふぃど
vertical take-of and landing,ぶいとーる
VTOL,ぶいとーる
phytochrome,ふぃとくろむ
fiddle,ふぃどる
phytoncide (anti-microbial compound derived from plants),ふぃとんちっど
finale,ふぃなーれ
Federation Internationale de Nation Amateur cup,ふぃなかっぷ
FINA cup,ふぃなかっぷ
finale,ふぃなる
finish,ふぃなんしぇ
finale,ふぃなんしぇ
finish,ふぃにっしゅ
V neck,ぶいねっく
VB,ぶいびー
VBA,ぶいびーえー
VBX,ぶいびーえっくす
V.fast,ぶいふぁすと
fifty,ふぃふてぃ
fifty,ふぃふてぃー
fifties,ふぃふてぃーず
fifty-fifty,ふぃふてぃーふぃふてぃー
fifteen,ふぃふてぃーん
fibrinogen,ふぃぶりのーげん
fibrinogen,ふぃぶりのげん
fibrin,ふぃぶりん
fibroin,ふぃぶろいん
Fibonacci search,ふぃぼなっちたんさく
Fibonacci series,ふぃぼねっちすうれつ
bouillabaisse,ぶいやべーす
