Sakhalin,さはりん
gentleman,じぇんとるまん
Asclepios shiranui (species of pond skater),しおあめんぼ
geoid,じおいど
Carex scabrifolia (species of sedge),しおくぐ
geography,じおぐらふぃー
GeoCities,じおしてぃーず
geosynthetic,じおしんせてぃっくす
geodesic dome,じおでしっくどーむ
Geotopia,じおとぴあ
Zionist,しおにすと
Zionism,しおにずむ
diopter (optical unit of refraction in lenses) (ger: Dioptrie),じおぷた
diopter (optical unit of refraction in lenses) (ger: Dioptrie),じおぷとりー
fiddler crab (esp. species Uca arcuata),しおまねき
geometry,じおめとりー
geometric,じおめとりっく
geometric mean,じおめとりっくへいきんち
diorama,じおらま
diolefin,じおれふぃん
geology,じおろじー
Zionism,しおんしゅぎ
cigar,しがー
jigger,じがー
winged bean (Psophocarpus tetragonolobus),しかくまめ
Chicago,しかご
ostracism,しかと
ignoring someone,しかと
leaving someone out,しかと
red-banded sand wasp (Ammophila sabulosa),じがばち
thread-waisted wasp (any wasp of family Sphecidae,じがばち
cigarillo,しがりろ
small cigar,しがりろ
dicarboxylic acid,じかるぼんさん
cigarette,しがれっと
cigarette case,しがれっとけーす
cigarette pants,しがれっとぱんつ
cigarette paper,しがれっとぺーぱー
cigarette holder,しがれっとほーるだー
sandpiper (any bird of family Scolopacidae, inc. the curlews, godwits, phalaropes, redshanks, ruff, snipes, turnstones, and woodcocks),しぎ
thixotropy,しきそとろぴー
tinamou (any bird of family Tinamidae),しぎだちょう
digitalis,じぎたりす
foxglove,じぎたりす
Japanese star anise (Illicium anisatum),しきび
Japanese star anise (Illicium anisatum),しきみ
Jekyll and Hyde,じきるとはいど
SIG,しぐ
gigue (dance),じぐ
jig (dance),じぐ
jig (tool),じぐ
classical form of i-adjective inflection (easily recognized by its attributive form ending inshiki and predicative form ending inshi),しくかつよう
Sikhism,しくきょう
zig-zag,じぐざぐ
zigzag demonstration,じぐざぐでも
Sikh Wars (1845-1846, 1848-1849),しくせんそう
jigsaw,じぐそー
jigsaw (puzzle),じぐそー
jigsaw puzzle,じぐそーぱずる
jigsaw puzzle,じぐぞーぱずる
signature,しぐなちゃー
signalling,しぐなりんぐ
signalling function,しぐなりんぐきのう
signalling layer,しぐなりんぐそう
signalling mechanism,しぐなりんぐめかにずむ
signalling message,しぐなりんぐめっせーじ
signal,しぐなる
signal handler,しぐなるはんどら
signal name,しぐなるめい
signal red,しぐなるれっど
signature,しぐねちゃ
signature,しぐねちゃー
sigma,しぐま
Atypus karschi (Asian species of mygalomorph spider),じぐも
sigmoid function,しぐもいどかんすう
signal ground,しぐら
sodium cyclamate,しくらみんさんなとりうむ
cyclamen (esp. species Cyclamen persicum),しくらめん
cichlid,しくりっど
to fail,しくる
to stuff up,しくる
cyclo (Southeast Asian pedicab),しくろ
cyclocross,しくろくろす
cyclo-cross,しくろくろす
cyclosporin,しくろすぽりん
cyclosporine,しくろすぽりん
cyclodextrin,しくろできすとりん
cyclopropane,しくろぷろぱん
cyclohexane,しくろへきさん
cyclophosphamide,しくろほすふぁみど
dichlorvos,じくろるぼす
dichlorobenzene,じくろろべんぜん
flat lemon (Citrus depressa Hayata),しくわーしゃー
Hirami lemon,しくわーしゃー
thin-skinned flat lemon,しくわーしゃー
shekwasha,しくわーしゃー
Taiwan tangerine,しくわーしゃー
Rangoon creeper (Quisqualis indica),しくんし
chicane,しけいん
drab, depressed man,しけめん
finger millet (Eleusine coracana),しこくびえ
chewy,しこしこ
springy,しこしこ
al dente,しこしこ
slowly but steadily,しこしこ
masturbation,しこしこ
fap fap,しこしこ
self-satisfaction,じこまん
(self-)complacency,じこまん
gigolette (feminine form of gigolo),じごれっと
gigolo,じごろ
princess-flower,しこんのぼたん
tibouchina urvilleana,しこんのぼたん
scissors cut,しざーかっと
scissors,しざーす
scissors jump,しざーすじゃんぷ
scissors pass,しざーすぱす
scissors pass,しざーずぱす
scissors hold,しざーすほーるど
dicyanogen,じしあん
pubescent angelica (Angelica pubescens),ししうど
shish-kebabs,ししかばぶ
shishamo smelt (Spirinchus lanceolatus) (ain: susuhamu),ししゃも
great tit (Parus major),しじゅうから
great tit (Parus major),しじゅうがら
Aleutian Canada goose (Branta canadensis leucopareia),しじゅうからがん
Sisyphus, Sisuphos, Greek mythology, from Homer's Odyssey,ししゅふぉす
cis,しす
sister,しす
systems administrator,しすあど
system operator,しすおぺ
sysop,しすおぺ
San Francisco,しすこ
Cisco Systems,しすこしすてむず
system component,しすこん
sister complex,しすこん
unnatural attachment to one's sister,しすこん
sister,しすたー
sissy (和製: sister boy),しすたーぼーい
cystine,しすちん
cysteine,しすていん
systematic,しすてまちっく
systematic,しすてまてぃっく
system,しすてむ
system architecture,しすてむあーきてくちゃ
system activity,しすてむあくてぃびてぃ
system administrator,しすてむあどみにすとれーた
systems analysis,しすてむあなりしす
systems analyst,しすてむあなりすと
System Application Architecture,しすてむあぷりけーしょんあーきてくちゃ
SAA,しすてむあぷりけーしょんあーきてくちゃ
systems approach,しすてむあぷろーち
SYSTEM.INI,しすてむいに
system event,しすてむいべんと
system integration,しすてむいんてぐれーしょん
SI,しすてむいんてぐれーしょん
system integrator,しすてむいんてぐれーた
system error,しすてむえらー
system area,しすてむえりあ
systems engineer,しすてむえんじにあ
systems engineering,しすてむえんじにありんぐ
system operator (sysop),しすてむおぺれーた
conceptual system design,しすてむがいねんせっけい
system development,しすてむかいはつ
system camera,しすてむかめら
system auditing,しすてむかんさ
systems-management,しすてむかんり
systems-management-application-entity,しすてむかんりおうようえんてぃてぃ
systems management application service element,しすてむかんりおうようさーびすようそ
systems management application process,しすてむかんりおうようぷろせす
systems managed object,しすてむかんりおぶじぇくと
systems management function,しすてむかんりきのう
systems management functional unit,しすてむかんりきのうたんい
systems management package,しすてむかんりきのうたんいぱっけーじ
systems management functional area,しすてむかんりきのうりょういき
systems management service,しすてむかんりさーびす
system administrator,しすてむかんりしゃ
(systems management) operation,しすてむかんりそうさ
system description,しすてむきじゅつ
system kitchen,しすてむきっちん
system caret,しすてむきゃれっと
system common area,しすてむきょうつうりょういき
system crash,しすてむくらっしゅ
system clock,しすてむくろっく
system call,しすてむこーる
system context,しすてむこんてきすと
system converter,しすてむこんばーたー
system configuration,しすてむこんふぃぎゅれーしょん
system component,しすてむこんぽ
system industry,しすてむさんぎょう
system support,しすてむしえん
system aids,しすてむしえん
system identifier,しすてむしきべつし
system resource,しすてむしげん
system test time,しすてむしけんじかん
test plan,しすてむしけんひょうかけいかく
system test and evaluation plan,しすてむしけんひょうかけいかく
system production time,しすてむじつどうじかん
Emergency Repair Disk,しすてむしゅうふくでぃすく
system fault,しすてむしょうがい
system goods,しすてむしょうひん
systems,しすてむず
systems approach,しすてむずあぷろーち
systems network architecture,しすてむずねっとわーくあーきてくちゃ
SNA,しすてむずねっとわーくあーきてくちゃ
system control program,しすてむせいぎょぷろぐらむ
system generation,しすてむせいせい
sysgen (acronym),しすてむせいせい
system design,しすてむせっけい
System 7,しすてむせぶん
system declaration,しすてむせんげん
system software,しすてむそふとうぇあ
systems software,しすてむそふとうえあ
system crash,しすてむだうん
system initialization,しすてむたちあげ
system start up,しすてむたちあげ
system channel,しすてむちゃねる
system disk,しすてむでぃすく
system data,しすてむでーた
system conformance test report,しすてむてきごうせいしけんほうこくしょ
SCTR,しすてむてきごうせいしけんほうこくしょ
system conformance statement,しすてむてきごうせいせんげん
systems designer,しすてむでざいなー
systems design,しすてむでざいん
personal organiser (e.g. Filofax),しすてむてちょう
system device,しすてむでばいす
system television,しすてむてれび
system integration,しすてむとうごう
system drive,しすてむどらいぶ
systems network,しすてむねっとわーく
Systems Network Architecture,しすてむねっとわーくあーきてくちゃ
SNA,しすてむねっとわーくあーきてくちゃ
system energy saver level,しすてむのえなじーせーぶれべる
system reset,しすてむのりせっと
system house,しすてむはうす
system bus,しすてむばす
systems hacking,しすてむはっきんぐ
system parameter,しすてむぱらめーた
system parameter,しすてむぱらめた
system builder,しすてむびるだ
System V (variety of Unix),しすてむふぁいぶ
System 5,しすてむふぁいぶ
system file,しすてむふぁいる
system file descriptor,しすてむふぁいるきじゅつし
system folder,しすてむふぉるだ
system follow-up,しすてむふぉろーあっぷ
post-implementation review,しすてむふぉろーあっぷ
post-development review,しすてむふぉろーあっぷ
system font,しすてむふぉんと
system work load level,しすてむふかれべる
systems planner,しすてむぷらんなー
systems flow chard,しすてむふろーちゃーと
system programmer,しすてむぷろぐらま
system program,しすてむぷろぐらむ
systems program,しすてむぷろぐらむ
system process,しすてむぷろせす
system prompt,しすてむぷろんぷと
system documentation,しすてむぶんしょ
systems analysis,しすてむぶんせき
system board,しすてむぼーど
system maintenance,しすてむほしゅ
system-name,しすてむめい
system-title,しすてむめいしょう
system menu,しすてむめにゅー
system memory,しすてむめもり
system maintenance,しすてむめんてなんす
system character set,しすてむもじしゅうごう
system requirement,しすてむようきゅう
system requirement,しすてむようけん
system life cycle,しすてむらいふさいくる
system library,しすてむらいぶらり
system label,しすてむらべる
system resource,しすてむりそーす
system capacity,しすてむりょう
system area,しすてむりょういき
system theory,しすてむりろん
system logical unit,しすてむろんりそうち
distemper,じすてんぱー
distoma,じすとま
cis-trans isomerism,しすとらんすいせい
systolic,しすとりっく
systaltic array,しすとりっくあれい
dystrophy,じすとろふぃー
cistron,しすとろん
Sister Princess (manga, game, TV series),しすぷり
dysprosium (Dy),じすぷろしうむ
JIS mark,じすまーく
sizzle,しずる
sizzle cut,しずるかっと
sizzle shot,しずるかっと
mouth-watering image in an advertising,しずるかっと
disulfiram,じするふぃらむ
schizoid person,しぞいどにんげん
thesaurus,しそーらす
thesaurus entry,しそーらすのこうもく
Labiatae (plant family),しそか
mint,しそか
Lamiaceae,しそか
the order Lamiales (plant),しそもく
sitar,したーる
cittern,したーん
cithern,したーん
pteridophyte (any plant of division Pteridophyta, inc. ferns and fern allies),しだしょくぶつ
jitterbug,じたばぐ
sole (esp. the tonguefishes of family Cynoglossidae, but also the true soles of family Soleidae),したびらめ
red tonguesole (Cynoglossus joyneri),したびらめ
tongue worm (any worm of phylum Pentastomida),したむし
cytidylic acid,しちじるさん
lantana (plant, flower),しちへんげ
Kabuki dance in which the dancer quickly changes his clothes seven times,しちへんげ
